time,voltage
12.4,208.42
12.43,212.97
12.47,212.89
12.5,215.82
12.53,212.06
12.57,214.56
12.6,210.16
12.63,220.3
12.67,218.92
12.7,215.27
12.73,207.77
12.77,215.01
12.8,211.33
12.83,214.86
12.87,204.56
12.9,223.13
12.93,223.15
12.97,219.93
13.0,223.35
13.03,226.5
13.07,221.49
13.1,228.98
13.13,215.06
13.17,229.12
13.2,225.26
13.23,220.73
13.27,227.46
13.3,224.28
13.33,222.91
13.37,236.37
13.4,220.58
13.43,222.92
13.47,228.81
13.5,225.98
13.53,222.37
13.57,221.68
13.6,228.0
13.63,222.31
13.67,220.86
13.7,228.12
13.73,231.99
13.77,232.06
13.8,222.34
13.83,226.86
13.87,220.4
13.9,225.55
13.93,216.74
13.97,216.18
14.0,233.29
14.03,228.75
14.07,223.45
14.1,223.83
14.13,227.22
14.17,227.22
14.2,220.47
14.23,219.89
14.27,229.37
14.3,223.04
14.33,228.7
14.37,232.07
14.4,224.75
14.43,225.71
14.47,218.68
14.5,231.19
14.53,227.18
14.57,226.21
14.6,222.28
14.63,217.78
14.67,216.18
14.7,223.84
14.73,216.67
14.77,234.45
14.8,227.46
14.83,228.1
14.87,224.99
14.9,223.83
14.93,233.3
14.97,225.36
15.0,214.14
15.03,215.29
15.07,207.55
15.1,221.03
15.13,212.86
15.17,208.86
15.2,208.03
15.23,218.5
15.27,212.13
15.3,208.3
15.33,201.82
15.37,222.07
15.4,226.38
15.43,220.04
15.47,213.91
15.5,211.05
15.53,214.74
15.57,207.62
15.6,208.63
15.63,200.98
15.67,216.15
15.7,209.64
15.73,208.97
15.77,208.05
15.8,221.81
15.83,214.8
15.87,222.57
15.9,202.2
15.93,218.25
15.97,214.68
16.0,223.53
16.03,230.98
16.07,221.68
16.1,228.81
16.13,229.09
16.17,223.79
16.2,220.72
16.23,222.11
16.27,224.23
16.3,229.66
16.33,232.31
16.37,224.74
16.4,237.0
16.43,224.14
16.47,214.07
16.5,224.51
16.53,218.89
16.57,226.66
16.6,236.01
16.63,232.52
16.67,229.26
16.7,216.63
16.73,224.35
16.77,222.0
16.8,231.73
16.83,223.69
16.87,229.86
16.9,223.74
16.93,230.06
16.97,222.36
17.0,215.61
17.03,219.32
17.07,211.8
17.1,218.26
17.13,209.65
17.17,209.22
17.2,210.83
17.23,216.38
17.27,221.13
17.3,217.06
17.33,219.72
17.37,215.41
17.4,209.65
17.43,218.68
17.47,220.38
17.5,210.66
17.53,212.85
17.57,220.74
17.6,214.15
17.63,214.29
17.67,224.32
17.7,219.91
17.73,214.47
17.77,208.61
17.8,220.14
17.83,210.92
17.87,209.03
17.9,213.99
17.93,225.54
17.97,217.64
18.0,215.51
18.03,222.69
18.07,210.97
18.1,217.47
18.13,209.52
18.17,211.77
18.2,213.74
18.23,211.9
18.27,219.81
18.3,208.75
18.33,210.37
18.37,217.14
18.4,212.55
18.43,216.57
18.47,221.26
18.5,215.38
18.53,215.02
18.57,205.7
18.6,216.87
18.63,213.88
18.67,217.84
18.7,214.67
18.73,215.13
18.77,216.91
18.8,221.59
18.83,225.35
18.87,215.09
18.9,213.67
18.93,205.24
18.97,216.12
19.0,225.81
19.03,213.09
19.07,220.94
19.1,214.23
19.13,216.49
19.17,211.89
19.2,220.77
19.23,224.76
19.27,220.56
19.3,218.41
19.33,215.97
19.37,222.85
19.4,217.34
19.43,214.14
19.47,214.3
19.5,210.14
19.53,216.52
19.57,211.22
19.6,220.62
19.63,217.34
19.67,205.09
19.7,209.25
19.73,214.82
19.77,219.05
19.8,206.96
19.83,211.9
19.87,216.38
19.9,215.27
19.93,212.41
19.97,223.16
20.0,206.56
20.03,216.68
20.07,223.71
20.1,216.6
20.13,215.85
20.17,209.67
20.2,217.97
20.23,217.31
20.27,212.14
20.3,213.07
20.33,217.9
20.37,216.14
20.4,216.84
20.43,212.69
20.47,211.88
20.5,203.68
20.53,212.28
20.57,216.96
20.6,218.11
20.63,222.36
20.67,214.97
20.7,213.14
20.73,209.75
20.77,216.86
20.8,207.37
20.83,224.44
20.87,203.73
20.9,207.35
20.93,213.02
20.97,219.17
21.0,235.08
21.03,219.04
21.07,226.42
21.1,227.47
21.13,230.96
21.17,236.61
21.2,223.38
21.23,228.63
21.27,221.16
21.3,231.44
21.33,224.86
21.37,228.38
21.4,221.51
21.43,220.24
21.47,227.86
21.5,223.94
21.53,223.34
21.57,223.29
21.6,230.22
21.63,224.71
21.67,220.76
21.7,219.04
21.73,223.35
21.77,223.37
21.8,225.6
21.83,221.31
21.87,228.72
21.9,223.22
21.93,225.56
21.97,231.43
22.0,234.49
22.03,227.87
22.07,232.94
22.1,222.57
22.13,217.27
22.17,228.21
22.2,227.04
22.23,230.19
22.27,222.43
22.3,226.3
22.33,225.58
22.37,234.02
22.4,225.42
22.43,222.53
22.47,224.19
22.5,227.37
22.53,220.96
22.57,223.24
22.6,229.52
22.63,220.81
22.67,227.25
22.7,227.68
22.73,228.75
22.77,234.13
22.8,231.21
22.83,219.7
22.87,230.94
22.9,234.41
22.93,231.19
22.97,219.82
23.0,213.62
23.03,224.72
23.07,220.83
23.1,215.26
23.13,209.34
23.17,223.75
23.2,220.85
23.23,220.0
23.27,215.8
23.3,218.74
23.33,217.88
23.37,223.94
23.4,204.89
23.43,211.76
23.47,218.09
23.5,215.68
23.53,218.17
23.57,215.65
23.6,214.77
23.63,215.52
23.67,213.87
23.7,208.58
23.73,219.68
23.77,216.02
23.8,217.01
23.83,208.08
23.87,216.83
23.9,214.13
23.93,211.65
23.97,212.99
24.0,223.11
24.03,224.58
24.07,229.65
24.1,230.62
24.13,233.68
24.17,230.46
24.2,219.43
24.23,220.5
24.27,224.07
24.3,220.0
24.33,220.38
24.37,219.76
24.4,228.65
24.43,218.47
24.47,229.51
24.5,225.29
24.53,219.84
24.57,220.25
24.6,229.26
24.63,224.2
24.67,228.88
24.7,224.65
24.73,223.34
24.77,218.36
24.8,227.5
24.83,238.33
24.87,223.37
24.9,229.89
24.93,229.81
24.97,225.75
25.0,224.15
25.03,222.89
25.07,216.36
25.1,221.1
25.13,229.96
25.17,228.1
25.2,226.38
25.23,221.78
25.27,231.18
25.3,227.11
25.33,228.39
25.37,234.86
25.4,216.78
25.43,215.84
25.47,220.48
25.5,233.72
25.53,217.02
25.57,223.93
25.6,223.41
25.63,236.8
25.67,230.42
25.7,223.84
25.73,225.85
25.77,221.53
25.8,226.07
25.83,223.51
25.87,220.33
25.9,233.42
25.93,224.13
25.97,224.06
26.0,214.89
26.03,224.96
26.07,233.96
26.1,227.95
26.13,223.74
26.17,217.71
26.2,231.92
26.23,228.89
26.27,222.54
26.3,227.7
26.33,225.32
26.37,227.89
26.4,224.5
26.43,218.62
26.47,218.14
26.5,232.97
26.53,227.46
26.57,227.33
26.6,224.1
26.63,233.07
26.67,227.63
26.7,223.8
26.73,221.91
26.77,228.55
26.8,219.42
26.83,227.34
26.87,218.24
26.9,231.81
26.93,222.81
26.97,221.83
27.0,210.92
27.03,218.87
27.07,214.62
27.1,215.06
27.13,206.03
27.17,218.7
27.2,214.22
27.23,216.8
27.27,224.1
27.3,215.54
27.33,211.71
27.37,215.16
27.4,221.47
27.43,216.27
27.47,214.1
27.5,213.48
27.53,215.4
27.57,218.99
27.6,218.13
27.63,219.83
27.67,215.51
27.7,216.01
27.73,211.35
27.77,212.34
27.8,217.49
27.83,219.36
27.87,213.04
27.9,210.13
27.93,216.33
27.97,218.78
28.0,218.98
28.03,215.15
28.07,217.31
28.1,217.77
28.13,228.03
28.17,209.19
28.2,219.74
28.23,207.07
28.27,212.62
28.3,216.23
28.33,207.79
28.37,216.28
28.4,214.95
28.43,216.51
28.47,212.09
28.5,215.16
28.53,209.97
28.57,213.96
28.6,206.03
28.63,215.51
28.67,218.6
28.7,218.86
28.73,208.48
28.77,211.38
28.8,222.15
28.83,225.0
28.87,218.09
28.9,215.47
28.93,207.54
28.97,218.0
29.0,226.45
29.03,225.89
29.07,227.86
29.1,219.28
29.13,220.61
29.17,231.85
29.2,224.68
29.23,227.3
29.27,220.25
29.3,230.9
29.33,226.39
29.37,226.4
29.4,221.12
29.43,222.71
29.47,220.79
29.5,221.72
29.53,226.51
29.57,229.49
29.6,222.51
29.63,228.87
29.67,222.53
29.7,226.72
29.73,226.72
29.77,227.58
29.8,222.22
29.83,219.09
29.87,223.37
29.9,232.24
29.93,226.97
29.97,221.96
30.0,224.99
30.03,227.51
30.07,221.83
30.1,228.49
30.13,226.77
30.17,218.09
30.2,234.97
30.23,219.93
30.27,223.11
30.3,232.48
30.33,227.7
30.37,225.56
30.4,220.45
30.43,217.63
30.47,219.14
30.5,221.72
30.53,220.09
30.57,222.27
30.6,217.0
30.63,227.66
30.67,226.87
30.7,225.21
30.73,222.43
30.77,233.84
30.8,221.8
30.83,222.06
30.87,228.64
30.9,222.37
30.93,223.81
30.97,225.74
31.0,222.44
31.03,214.4
31.07,210.12
31.1,217.14
31.13,216.1
31.17,211.36
31.2,223.18
31.23,213.17
31.27,216.39
31.3,216.63
31.33,218.1
31.37,221.54
31.4,211.94
31.43,224.96
31.47,213.49
31.5,210.78
31.53,222.13
31.57,220.32
31.6,206.84
31.63,220.99
31.67,211.5
31.7,215.19
31.73,213.69
31.77,210.34
31.8,216.48
31.83,212.47
31.87,212.14
31.9,217.25
31.93,212.28
31.97,217.18
32.0,229.01
32.03,225.42
32.07,231.18
32.1,222.47
32.13,222.52
32.17,225.98
32.2,232.38
32.23,224.43
32.27,218.93
32.3,225.98
32.33,225.77
32.37,230.16
32.4,222.57
32.43,216.96
32.47,220.51
32.5,231.71
32.53,228.34
32.57,237.13
32.6,231.14
32.63,217.04
32.67,226.46
32.7,217.16
32.73,228.4
32.77,221.89
32.8,225.02
32.83,223.94
32.87,229.98
32.9,219.91
32.93,222.3
32.97,229.33
33.0,224.3
33.03,220.48
33.07,219.55
33.1,219.97
33.13,218.46
33.17,228.99
33.2,223.09
33.23,216.93
33.27,230.36
33.3,229.82
33.33,216.78
33.37,225.04
33.4,223.92
33.43,225.63
33.47,225.23
33.5,229.13
33.53,216.97
33.57,220.91
33.6,230.26
33.63,219.89
33.67,223.98
33.7,223.04
33.73,227.87
33.77,228.65
33.8,223.82
33.83,226.55
33.87,223.19
33.9,219.73
33.93,227.19
33.97,219.81
34.0,216.53
34.03,220.47
34.07,215.81
34.1,205.25
34.13,206.0
34.17,220.6
34.2,214.85
34.23,215.95
34.27,210.37
34.3,223.85
34.33,218.49
34.37,216.17
34.4,211.26
34.43,222.2
34.47,220.31
34.5,225.91
34.53,209.29
34.57,226.71
34.6,219.65
34.63,219.53
34.67,214.23
34.7,210.61
34.73,217.96
34.77,213.78
34.8,217.63
34.83,214.13
34.87,219.11
34.9,211.03
34.93,209.45
34.97,218.55
35.0,220.41
35.03,229.35
35.07,228.28
35.1,220.5
35.13,221.72
35.17,233.11
35.2,224.5
35.23,217.19
35.27,220.79
35.3,228.5
35.33,222.51
35.37,216.96
35.4,221.98
35.43,225.9
35.47,224.28
35.5,233.58
35.53,219.77
35.57,228.54
35.6,219.57
35.63,223.78
35.67,224.38
35.7,220.29
35.73,222.53
35.77,223.35
35.8,225.66
35.83,217.12
35.87,221.31
35.9,216.52
35.93,216.75
35.97,229.11
36.0,226.88
36.03,230.6
36.07,223.21
36.1,226.33
36.13,227.67
36.17,226.19
36.2,222.01
36.23,218.73
36.27,220.47
36.3,231.5
36.33,219.13
36.37,228.62
36.4,222.68
36.43,218.14
36.47,226.13
36.5,220.91
36.53,225.48
36.57,224.93
36.6,226.27
36.63,227.35
36.67,225.55
36.7,217.54
36.73,221.42
36.77,225.8
36.8,224.61
36.83,226.09
36.87,240.2
36.9,226.78
36.93,226.71
36.97,229.39
37.0,216.84
37.03,225.93
37.07,217.12
37.1,215.51
37.13,226.39
37.17,217.17
37.2,230.8
37.23,226.3
37.27,231.06
37.3,231.13
37.33,227.65
37.37,233.7
37.4,226.07
37.43,221.59
37.47,224.58
37.5,219.46
37.53,223.85
37.57,224.18
37.6,224.07
37.63,225.24
37.67,225.01
37.7,228.29
37.73,221.14
37.77,219.74
37.8,227.14
37.83,220.53
37.87,221.64
37.9,218.89
37.93,227.24
37.97,222.88
38.0,222.63
38.03,231.15
38.07,221.31
38.1,225.39
38.13,226.82
38.17,219.54
38.2,226.06
38.23,222.53
38.27,225.84
38.3,222.37
38.33,227.86
38.37,225.25
38.4,224.51
38.43,221.85
38.47,221.56
38.5,220.89
38.53,230.43
38.57,226.08
38.6,222.86
38.63,220.38
38.67,229.24
38.7,215.6
38.73,229.51
38.77,225.18
38.8,229.78
38.83,216.57
38.87,219.33
38.9,218.1
38.93,224.22
38.97,226.47
39.0,221.96
39.03,218.2
39.07,211.5
39.1,226.55
39.13,220.69
39.17,222.38
39.2,215.12
39.23,222.48
39.27,214.51
39.3,219.76
39.33,212.02
39.37,211.13
39.4,218.31
39.43,219.43
39.47,217.41
39.5,213.49
39.53,211.89
39.57,212.01
39.6,219.76
39.63,205.72
39.67,211.55
39.7,206.58
39.73,210.75
39.77,220.64
39.8,221.22
39.83,220.37
39.87,224.01
39.9,220.26
39.93,215.33
39.97,224.84
40.0,229.35
40.03,217.81
40.07,225.77
40.1,220.23
40.13,216.15
40.17,227.47
40.2,224.66
40.23,223.44
40.27,221.09
40.3,224.09
40.33,230.59
40.37,226.49
40.4,224.55
40.43,217.92
40.47,219.95
40.5,234.31
40.53,225.47
40.57,226.99
40.6,219.02
40.63,218.13
40.67,228.06
40.7,224.26
40.73,223.4
40.77,234.61
40.8,232.9
40.83,232.48
40.87,228.6
40.9,229.64
40.93,223.37
40.97,231.68
41.0,216.55
41.03,212.52
41.07,228.56
41.1,218.73
41.13,211.3
41.17,213.9
41.2,218.05
41.23,221.47
41.27,222.02
41.3,210.67
41.33,210.11
41.37,216.3
41.4,221.16
41.43,216.59
41.47,217.52
41.5,210.57
41.53,210.36
41.57,219.07
41.6,213.36
41.63,208.9
41.67,219.22
41.7,221.45
41.73,220.65
41.77,210.9
41.8,214.2
41.83,219.96
41.87,207.45
41.9,210.82
41.93,225.8
41.97,214.24
42.0,229.58
42.03,222.64
42.07,230.07
42.1,229.84
42.13,228.1
42.17,221.61
42.2,227.99
42.23,229.86
42.27,229.61
42.3,231.76
42.33,225.77
42.37,232.22
42.4,216.28
42.43,222.33
42.47,231.63
42.5,226.06
42.53,227.25
42.57,229.67
42.6,225.65
42.63,228.73
42.67,223.85
42.7,230.47
42.73,226.22
42.77,221.78
42.8,214.31
42.83,230.67
42.87,226.74
42.9,231.58
42.93,229.3
42.97,226.17
43.0,218.49
43.03,208.63
43.07,210.63
43.1,216.63
43.13,209.53
43.17,207.84
43.2,219.12
43.23,218.83
43.27,213.22
43.3,216.09
43.33,213.29
43.37,217.66
43.4,220.39
43.43,217.03
43.47,202.9
43.5,214.63
43.53,211.52
43.57,212.12
43.6,207.4
43.63,211.35
43.67,214.82
43.7,209.61
43.73,216.32
43.77,214.93
43.8,210.66
43.83,212.64
43.87,222.57
43.9,214.28
43.93,224.52
43.97,218.15
44.0,218.42
44.03,215.41
44.07,217.51
44.1,211.19
44.13,220.08
44.17,220.84
44.2,209.29
44.23,212.66
44.27,204.25
44.3,222.56
44.33,203.87
44.37,209.71
44.4,209.54
44.43,226.1
44.47,217.81
44.5,210.51
44.53,204.06
44.57,214.82
44.6,211.44
44.63,218.57
44.67,214.74
44.7,213.37
44.73,217.41
44.77,218.69
44.8,213.9
44.83,214.25
44.87,212.11
44.9,206.85
44.93,209.99
44.97,209.7
45.0,222.92
45.03,229.55
45.07,224.59
45.1,226.75
45.13,224.44
45.17,226.96
45.2,228.0
45.23,221.63
45.27,226.84
45.3,224.38
45.33,216.5
45.37,231.17
45.4,230.05
45.43,221.32
45.47,226.4
45.5,226.41
45.53,223.97
45.57,228.8
45.6,227.35
45.63,227.2
45.67,218.28
45.7,228.19
45.73,230.66
45.77,226.88
45.8,226.73
45.83,226.74
45.87,210.37
45.9,224.39
45.93,211.26
45.97,224.88
46.0,232.12
46.03,219.81
46.07,226.17
46.1,224.24
46.13,222.74
46.17,225.27
46.2,226.42
46.23,232.51
46.27,224.17
46.3,222.0
46.33,227.83
46.37,232.64
46.4,220.46
46.43,214.64
46.47,233.61
46.5,229.9
46.53,221.8
46.57,220.39
46.6,229.59
46.63,221.24
46.67,222.97
46.7,226.07
46.73,217.16
46.77,230.04
46.8,222.38
46.83,221.78
46.87,220.32
46.9,228.61
46.93,223.78
46.97,230.34
47.0,207.68
47.03,209.75
47.07,214.72
47.1,213.66
47.13,223.96
47.17,210.46
47.2,210.17
47.23,218.38
47.27,219.07
47.3,210.59
47.33,224.77
47.37,211.82
47.4,221.51
47.43,217.25
47.47,225.71
47.5,216.28
47.53,219.94
47.57,220.47
47.6,213.41
47.63,219.26
47.67,213.42
47.7,216.61
47.73,218.77
47.77,215.89
47.8,218.14
47.83,209.71
47.87,218.1
47.9,208.43
47.93,208.76
47.97,208.46
48.0,209.09
48.03,212.75
48.07,221.54
48.1,215.86
48.13,209.16
48.17,217.64
48.2,208.67
48.23,218.32
48.27,217.3
48.3,224.64
48.33,213.03
48.37,213.32
48.4,221.95
48.43,212.97
48.47,218.82
48.5,221.11
48.53,218.46
48.57,211.33
48.6,216.73
48.63,221.54
48.67,221.84
48.7,217.39
48.73,212.5
48.77,209.15
48.8,214.96
48.83,207.92
48.87,217.49
48.9,210.63
48.93,219.85
48.97,215.22
49.0,211.16
49.03,223.23
49.07,222.5
49.1,221.06
49.13,203.29
49.17,212.57
49.2,212.98
49.23,210.73
49.27,211.79
49.3,211.82
49.33,207.73
49.37,204.42
49.4,212.17
49.43,219.39
49.47,216.59
49.5,215.01
49.53,215.44
49.57,217.98
49.6,209.61
49.63,218.12
49.67,217.3
49.7,215.69
49.73,225.53
49.77,218.52
49.8,216.06
49.83,210.51
49.87,216.25
49.9,218.34
49.93,213.45
49.97,213.16
50.0,216.19
50.03,227.0
50.07,220.47
50.1,228.66
50.13,213.19
50.17,217.42
50.2,227.21
50.23,226.62
50.27,226.16
50.3,222.97
50.33,218.91
50.37,214.89
50.4,223.13
50.43,221.54
50.47,226.57
50.5,220.77
50.53,218.74
50.57,217.22
50.6,229.67
50.63,223.42
50.67,224.07
50.7,228.05
50.73,231.83
50.77,221.62
50.8,224.42
50.83,222.86
50.87,227.54
50.9,222.71
50.93,227.71
50.97,222.88
51.0,226.23
51.03,227.89
51.07,223.06
51.1,223.69
51.13,231.74
51.17,218.95
51.2,225.1
51.23,220.77
51.27,218.62
51.3,226.2
51.33,229.15
51.37,220.8
51.4,226.85
51.43,229.58
51.47,231.58
51.5,222.61
51.53,228.24
51.57,225.14
51.6,215.54
51.63,218.48
51.67,222.7
51.7,222.04
51.73,223.47
51.77,216.07
51.8,230.18
51.83,224.85
51.87,228.1
51.9,228.24
51.93,232.64
51.97,225.15
52.0,217.81
52.03,210.19
52.07,215.43
52.1,215.18
52.13,220.49
52.17,214.77
52.2,213.17
52.23,218.77
52.27,212.0
52.3,215.29
52.33,215.42
52.37,221.62
52.4,219.57
52.43,214.74
52.47,213.71
52.5,218.72
52.53,217.08
52.57,212.58
52.6,204.27
52.63,218.06
52.67,219.49
52.7,210.7
52.73,213.96
52.77,212.65
52.8,221.68
52.83,218.86
52.87,213.03
52.9,223.4
52.93,218.15
52.97,220.52
53.0,228.67
53.03,236.66
53.07,229.23
53.1,224.73
53.13,225.26
53.17,228.67
53.2,231.44
53.23,223.28
53.27,223.97
53.3,224.89
53.33,235.01
53.37,224.57
53.4,222.47
53.43,223.98
53.47,229.69
53.5,225.28
53.53,226.03
53.57,227.22
53.6,227.48
53.63,221.84
53.67,217.99
53.7,222.12
53.73,228.78
53.77,223.71
53.8,215.72
53.83,226.91
53.87,224.55
53.9,218.5
53.93,217.4
53.97,218.68
54.0,224.67
54.03,215.27
54.07,228.34
54.1,224.92
54.13,229.1
54.17,220.02
54.2,222.02
54.23,218.79
54.27,228.65
54.3,216.6
54.33,223.81
54.37,226.36
54.4,224.0
54.43,225.05
54.47,230.33
54.5,223.48
54.53,225.39
54.57,223.69
54.6,227.42
54.63,229.77
54.67,229.74
54.7,223.41
54.73,214.84
54.77,233.85
54.8,223.74
54.83,220.94
54.87,225.6
54.9,220.49
54.93,219.06
54.97,217.28
55.0,221.38
55.03,220.85
55.07,216.25
55.1,218.33
55.13,199.58
55.17,211.66
55.2,222.96
55.23,223.46
55.27,210.58
55.3,213.13
55.33,202.53
55.37,223.29
55.4,215.74
55.43,217.8
55.47,211.58
55.5,212.57
55.53,220.18
55.57,219.33
55.6,208.45
55.63,206.85
55.67,209.36
55.7,220.33
55.73,219.03
55.77,212.78
55.8,215.54
55.83,219.69
55.87,216.49
55.9,210.45
55.93,212.1
55.97,215.54
56.0,230.72
56.03,235.07
56.07,219.62
56.1,224.7
56.13,214.29
56.17,225.61
56.2,222.4
56.23,231.69
56.27,215.46
56.3,224.3
56.33,228.19
56.37,227.02
56.4,221.86
56.43,229.27
56.47,224.25
56.5,217.29
56.53,220.66
56.57,234.38
56.6,224.64
56.63,212.44
56.67,222.97
56.7,234.23
56.73,219.46
56.77,227.27
56.8,230.71
56.83,229.28
56.87,223.34
56.9,230.2
56.93,218.22
56.97,220.03
57.0,226.72
57.03,223.8
57.07,218.02
57.1,227.05
57.13,232.59
57.17,225.62
57.2,220.92
57.23,226.67
57.27,219.77
57.3,208.29
57.33,217.63
57.37,217.25
57.4,215.71
57.43,227.58
57.47,220.65
57.5,223.65
57.53,222.53
57.57,224.78
57.6,218.42
57.63,219.39
57.67,225.77
57.7,227.76
57.73,213.52
57.77,224.5
57.8,225.82
57.83,222.63
57.87,223.96
57.9,227.65
57.93,225.27
57.97,220.3
58.0,215.94
58.03,219.97
58.07,211.12
58.1,212.96
58.13,211.8
58.17,214.21
58.2,211.54
58.23,211.32
